1900,Mar-21 1:39 AM GMT,Jun-21 9:40 PM GMT,Sep-23 12:20 PM GMT,Dec-22 6:41 AM GMT
1901,Mar-21 7:24 AM GMT,Jun-22 3:28 AM GMT,Sep-23 6:09 PM GMT,Dec-22 12:37 PM GMT
1902,Mar-21 1:16 PM GMT,Jun-22 9:15 AM GMT,Sep-23 11:55 PM GMT,Dec-22 6:35 PM GMT
1903,Mar-21 7:15 PM GMT,Jun-22 3:05 PM GMT,Sep-24 5:44 AM GMT,Dec-23 12:20 AM GMT
1904,Mar-21 12:58 AM GMT,Jun-21 8:51 PM GMT,Sep-23 11:40 AM GMT,Dec-22 6:14 AM GMT
1905,Mar-21 6:58 AM GMT,Jun-22 2:52 AM GMT,Sep-23 5:30 PM GMT,Dec-22 12:04 PM GMT
1906,Mar-21 12:53 PM GMT,Jun-22 8:42 AM GMT,Sep-23 11:15 PM GMT,Dec-22 5:53 PM GMT
1907,Mar-21 6:33 PM GMT,Jun-22 2:23 PM GMT,Sep-24 5:09 AM GMT,Dec-22 11:51 PM GMT
1908,Mar-21 12:28 AM GMT,Jun-21 8:20 PM GMT,Sep-23 10:58 AM GMT,Dec-22 5:33 AM GMT
1909,Mar-21 6:13 AM GMT,Jun-22 2:06 AM GMT,Sep-23 4:45 PM GMT,Dec-22 11:20 AM GMT
1910,Mar-21 12:03 PM GMT,Jun-22 7:49 AM GMT,Sep-23 10:31 PM GMT,Dec-22 5:12 PM GMT
1911,Mar-21 5:54 PM GMT,Jun-22 1:36 PM GMT,Sep-24 4:17 AM GMT,Dec-22 10:53 PM GMT
1912,Mar-20 11:29 PM GMT,Jun-21 7:17 PM GMT,Sep-23 10:08 AM GMT,Dec-22 4:45 AM GMT
1913,Mar-21 5:18 AM GMT,Jun-22 1:10 AM GMT,Sep-23 3:53 PM GMT,Dec-22 10:35 AM GMT
1914,Mar-21 11:11 AM GMT,Jun-22 6:55 AM GMT,Sep-23 9:34 PM GMT,Dec-22 4:22 PM GMT
1915,Mar-21 4:51 PM GMT,Jun-22 12:30 PM GMT,Sep-24 3:24 AM GMT,Dec-22 10:16 PM GMT
1916,Mar-20 10:47 PM GMT,Jun-21 7:25 PM BST,Sep-23 10:15 AM BST,Dec-22 3:59 AM GMT
1917,Mar-21 4:37 AM GMT,Jun-22 1:14 AM BST,Sep-23 3:00 PM GMT,Dec-22 9:46 AM GMT
1918,Mar-21 10:25 AM GMT,Jun-22 7:00 AM BST,Sep-23 9:46 PM BST,Dec-22 3:41 PM GMT
1919,Mar-21 4:19 PM GMT,Jun-22 12:54 PM BST,Sep-24 3:36 AM BST,Dec-22 9:27 PM GMT
1920,Mar-20 9:59 PM GMT,Jun-21 6:40 PM BST,Sep-23 9:28 AM BST,Dec-22 3:17 AM GMT
1921,Mar-21 3:51 AM GMT,Jun-22 12:36 AM BST,Sep-23 3:20 PM BST,Dec-22 9:08 AM GMT
1922,Mar-21 9:48 AM GMT,Jun-22 6:27 AM BST,Sep-23 9:10 PM BST,Dec-22 2:57 PM GMT
1923,Mar-21 3:29 PM GMT,Jun-22 12:03 PM BST,Sep-24 2:03 AM GMT,Dec-22 8:53 PM GMT
1924,Mar-20 9:20 PM GMT,Jun-21 5:59 PM BST,Sep-23 7:59 AM GMT,Dec-22 2:45 AM GMT
1925,Mar-21 3:12 AM GMT,Jun-21 11:50 PM BST,Sep-23 2:43 PM BST,Dec-22 8:37 AM GMT
1926,Mar-21 9:01 AM GMT,Jun-22 5:30 AM BST,Sep-23 8:27 PM BST,Dec-22 2:33 PM GMT
1927,Mar-21 2:59 PM GMT,Jun-22 11:22 AM BST,Sep-24 2:17 AM BST,Dec-22 8:18 PM GMT
1928,Mar-20 8:44 PM GMT,Jun-21 5:06 PM BST,Sep-23 8:05 AM BST,Dec-22 2:04 AM GMT
1929,Mar-21 2:35 AM GMT,Jun-21 11:01 PM BST,Sep-23 1:52 PM BST,Dec-22 7:53 AM GMT
1930,Mar-21 8:29 AM GMT,Jun-22 4:53 AM BST,Sep-23 7:36 PM BST,Dec-22 1:39 PM GMT
1931,Mar-21 2:06 PM GMT,Jun-22 10:28 AM BST,Sep-24 1:23 AM BST,Dec-22 7:29 PM GMT
1932,Mar-20 7:54 PM GMT,Jun-21 4:23 PM BST,Sep-23 7:16 AM BST,Dec-22 1:14 AM GMT
1933,Mar-21 1:43 AM GMT,Jun-21 10:12 PM BST,Sep-23 1:01 PM BST,Dec-22 6:58 AM GMT
1934,Mar-21 7:27 AM GMT,Jun-22 3:48 AM BST,Sep-23 6:45 PM BST,Dec-22 12:49 PM GMT
1935,Mar-21 1:18 PM GMT,Jun-22 9:38 AM BST,Sep-24 12:38 AM BST,Dec-22 6:37 PM GMT
1936,Mar-20 6:57 PM GMT,Jun-21 3:21 PM BST,Sep-23 6:26 AM BST,Dec-22 12:27 AM GMT
1937,Mar-21 12:45 AM GMT,Jun-21 9:12 PM BST,Sep-23 12:13 PM BST,Dec-22 6:22 AM GMT
1938,Mar-21 6:43 AM GMT,Jun-22 3:03 AM BST,Sep-23 6:00 PM BST,Dec-22 12:13 PM GMT
1939,Mar-21 12:28 PM GMT,Jun-22 8:39 AM BST,Sep-23 11:49 PM BST,Dec-22 6:06 PM GMT
1940,Mar-20 7:24 PM BST,Jun-21 2:36 PM BST,Sep-23 5:45 AM BST,Dec-22 12:55 AM BST
1941,Mar-21 1:20 AM BST,Jun-21 9:33 PM BDST,Sep-23 11:33 AM BST,Dec-22 6:44 AM BST
